Country;country_name;regressor;lag
AT;Austria;rel_dp;2
AT;Austria;er_star;0
AT;Austria;y_star;2
AT;Austria;imp_reg;2
BE;Belgium;rel_dp;2
BE;Belgium;er_star;1
BE;Belgium;y_star;2
BE;Belgium;imp_reg;2
BG;Bulgaria;rel_dp;2
BG;Bulgaria;er_star;0
BG;Bulgaria;y_star;2
BG;Bulgaria;imp_reg;2
HR;Croatia;rel_dp;1
HR;Croatia;er_star;0
HR;Croatia;y_star;2
HR;Croatia;imp_reg;2
CY;Cyprus;rel_dp;2
CY;Cyprus;er_star;1
CY;Cyprus;y_star;2
CY;Cyprus;imp_reg;2
CZ;Czech Republic;rel_dp;1
CZ;Czech Republic;er_star;2
CZ;Czech Republic;y_star;2
CZ;Czech Republic;imp_reg;2
DK;Denmark;rel_dp;1
DK;Denmark;er_star;2
DK;Denmark;y_star;2
DK;Denmark;imp_reg;2
EE;Estonia;rel_dp;2
EE;Estonia;er_star;2
EE;Estonia;y_star;2
EE;Estonia;imp_reg;2
FI;Finland;rel_dp;2
FI;Finland;er_star;0
FI;Finland;y_star;2
FI;Finland;imp_reg;2
FR;France;rel_dp;1
FR;France;er_star;2
FR;France;y_star;2
FR;France;imp_reg;2
DE;Germany;rel_dp;2
DE;Germany;er_star;0
DE;Germany;y_star;2
DE;Germany;imp_reg;2
EL;Greece;rel_dp;1
EL;Greece;er_star;0
EL;Greece;y_star;2
EL;Greece;imp_reg;2
HU;Hungary;rel_dp;1
HU;Hungary;er_star;2
HU;Hungary;y_star;2
HU;Hungary;imp_reg;2
IE;Ireland;rel_dp;2
IE;Ireland;er_star;2
IE;Ireland;y_star;2
IE;Ireland;imp_reg;2
IT;Italy;rel_dp;1
IT;Italy;er_star;1
IT;Italy;y_star;2
IT;Italy;imp_reg;2
LV;Latvia;rel_dp;2
LV;Latvia;er_star;0
LV;Latvia;y_star;2
LV;Latvia;imp_reg;2
LT;Lithuania;rel_dp;2
LT;Lithuania;er_star;2
LT;Lithuania;y_star;2
LT;Lithuania;imp_reg;2
LU;Luxembourg;rel_dp;1
LU;Luxembourg;er_star;1
LU;Luxembourg;y_star;2
LU;Luxembourg;imp_reg;2
MT;Malta;rel_dp;2
MT;Malta;er_star;1
MT;Malta;y_star;2
MT;Malta;imp_reg;2
NL;Netherlands;rel_dp;2
NL;Netherlands;er_star;2
NL;Netherlands;y_star;2
NL;Netherlands;imp_reg;2
PL;Poland;rel_dp;2
PL;Poland;er_star;0
PL;Poland;y_star;2
PL;Poland;imp_reg;2
PT;Portugal;rel_dp;1
PT;Portugal;er_star;1
PT;Portugal;y_star;2
PT;Portugal;imp_reg;2
RO;Romania;rel_dp;1
RO;Romania;er_star;1
RO;Romania;y_star;2
RO;Romania;imp_reg;2
SK;Slovakia;rel_dp;2
SK;Slovakia;er_star;1
SK;Slovakia;y_star;2
SK;Slovakia;imp_reg;2
SI;Slovenia;rel_dp;2
SI;Slovenia;er_star;2
SI;Slovenia;y_star;2
SI;Slovenia;imp_reg;2
ES;Spain;rel_dp;1
ES;Spain;er_star;2
ES;Spain;y_star;2
ES;Spain;imp_reg;2
SE;Sweden;rel_dp;2
SE;Sweden;er_star;1
SE;Sweden;y_star;2
SE;Sweden;imp_reg;2
